Time,x,y,z,
2.03,-0.0002842,-0.0007543,9.397e-05,
2.04,-0.0002676,-0.0008307,8.919e-05,
2.043,-0.000261,-0.0008711,8.693e-05,
2.056,-0.0002389,-0.0007904,8.535e-05,
2.059,-0.0002298,-0.0008357,8.139e-05,
2.07,-0.0002103,-0.0009333,6.781e-05,
2.073,-0.0001929,-0.000985,6.036e-05,
2.086,-0.0001704,-0.001095,4.252e-05,
2.089,-0.0002315,-0.0007793,2.33e-05,
2.102,-0.0002052,-0.0009076,-1.44e-05,
2.106,-0.0001979,-0.0009552,-2.892e-05,
2.13,-0.0001403,-0.0009314,-3.327e-05,
2.134,-0.000123,-0.0009797,-5.344e-05,
2.149,-9.519e-05,-0.001084,-9.333e-05,
2.153,-0.0002291,-0.000859,-6.704e-05,
2.163,-0.0002092,-0.0009402,-9.698e-05,
2.166,-0.0001985,-0.0009854,-0.0001132,
2.178,-0.0001826,-0.001086,-0.0001456,
2.181,9.007e-05,-0.0008447,7.296e-06,
2.195,0.0001163,-0.0008799,3.054e-06,
2.198,0.0001448,-0.0009157,-1.525e-06,
2.209,0.0001914,-0.0009995,-1.19e-05,
2.212,0.0002152,-0.001052,-1.767e-05,
2.225,0.0003701,-0.0008839,-0.0001521,
2.228,0.0003996,-0.0009277,-0.0001666,
2.239,0.0004804,-0.001057,-0.0002126,
2.242,0.0005254,-0.0009202,-0.0004061,
2.255,0.0005553,-0.000961,-0.0004369,
2.257,0.000671,-0.001119,-0.0005376,
2.272,0.0007121,-0.001178,-0.0005741,
2.287,0.0005814,-0.0009529,-0.0004141,
2.29,0.0006187,-0.0009908,-0.0004394,
2.304,0.0007005,-0.001072,-0.0004943,
2.306,0.0007425,-0.001117,-0.0005237,
2.318,0.000741,-0.0008876,-0.0005417,
2.321,0.0007771,-0.000921,-0.0005717,
2.333,0.000836,-0.0009935,-0.0006296,
2.336,0.0008985,-0.00107,-0.0006907,
2.348,0.0007402,-0.0009482,-0.0005335,
2.351,0.0007623,-0.0009888,-0.0005492,
2.364,0.000813,-0.001085,-0.0005804,
2.367,0.000835,-0.001136,-0.0005958,
2.38,0.0008686,-0.001238,-0.0006262,
2.382,0.0005896,-0.001027,-0.0003691,
2.394,0.0006163,-0.001154,-0.0003595,
2.397,0.0006274,-0.001201,-0.0003559,
2.41,0.0006568,-0.001302,-0.0003513,
2.413,0.0004494,-0.0009287,-0.00016,
2.425,0.0004556,-0.0009977,-0.0001355,
2.428,0.0004541,-0.001034,-0.0001239,
2.44,0.0004418,-0.001108,-0.000103,
2.442,0.0003149,-0.0008815,-0.0001627,
2.454,0.0003029,-0.0009663,-0.0001583,
2.456,0.0003003,-0.001012,-0.0001573,
2.47,0.0002957,-0.001106,-0.0001593,
2.472,0.0002292,-0.0008013,-0.0001957,
2.486,0.0002256,-0.000824,-0.0002037,
2.488,0.0002218,-0.0008511,-0.0002129,
2.499,0.0002083,-0.0009101,-0.0002318,
2.502,0.0002011,-0.0009427,-0.000242,
2.515,-0.0001994,-0.0009123,-0.0001497,
2.518,-0.0002295,-0.0009524,-0.0001516,
2.53,-0.0002932,-0.001036,-0.000152,
2.532,-0.0003262,-0.001082,-0.0001515,
2.545,-0.0004716,-0.0007952,2.106e-05,
2.548,-0.0005095,-0.0008226,3.173e-05,
2.562,-0.000588,-0.0008822,5.044e-05,
2.565,-0.000628,-0.0009146,5.875e-05,
2.578,-0.0006274,-0.000625,-4.61e-06,
2.58,-0.0006583,-0.0006463,-2.343e-06,
2.592,-0.0007098,-0.0006985,1.308e-06,
2.594,-0.0007385,-0.0007271,2.71e-06,
2.607,-0.0008073,-0.000798,4.535e-06,
2.61,-0.0001832,-0.0006809,2.777e-05,
2.623,-0.0001583,-0.0007489,3.535e-05,
2.625,-0.0001409,-0.000787,3.83e-05,
2.638,-9.859e-05,-0.0008678,4.023e-05,
2.641,-7.786e-05,-0.0009116,3.944e-05,
